id	url	source	notes
50	https://job-boards.greenhouse.io/vercel/jobs/5872425004	pipeline	Vercel | Forward Deployed Engineer, v0
51	https://job-boards.greenhouse.io/vercel/jobs/5777645004	pipeline	Vercel | GTM Engineer
52	https://job-boards.greenhouse.io/vercel/jobs/5796302004	pipeline	Vercel | Solutions Architect
53	https://job-boards.greenhouse.io/vercel/jobs/5804110004	pipeline	Vercel | Solutions Architect
54	https://job-boards.greenhouse.io/vercel/jobs/5806749004	pipeline	Vercel | Solutions Architect
55	https://job-boards.greenhouse.io/arizeai/jobs/5818115004	pipeline	Arize AI | AI Product Manager
56	https://job-boards.greenhouse.io/arizeai/jobs/5797408004	pipeline	Arize AI | AI Solutions Engineer
57	https://job-boards.greenhouse.io/arizeai/jobs/5769693004	pipeline	Arize AI | AI Solutions Engineer (Charlotte)
58	https://job-boards.greenhouse.io/arizeai/jobs/5781408004	pipeline	Arize AI | AI Solutions Engineer, EMEA
59	https://job-boards.greenhouse.io/arizeai/jobs/5969145004	pipeline	Arize AI | AI Application Engineer
60	https://job-boards.greenhouse.io/arizeai/jobs/5661972004	pipeline	Arize AI | AI Engineer, Instrumentation
61	https://job-boards.greenhouse.io/runpod/jobs/5173070008	pipeline	RunPod | Forward Deployed Engineer APAC
62	https://job-boards.greenhouse.io/runpod/jobs/5112001008	pipeline	RunPod | Senior Product Manager
63	https://job-boards.greenhouse.io/gleanwork/jobs/4651950005	pipeline	Glean | Forward Deployed Product Manager
64	https://job-boards.greenhouse.io/gleanwork/jobs/4659407005	pipeline	Glean | Forward Deployed Product Manager
65	https://job-boards.greenhouse.io/gleanwork/jobs/4659409005	pipeline	Glean | Forward Deployed Product Manager
66	https://job-boards.greenhouse.io/gleanwork/jobs/4659412005	pipeline	Glean | Founding Forward Deployed Engineer
67	https://job-boards.greenhouse.io/gleanwork/jobs/4651991005	pipeline	Glean | Founding Forward Deployed Engineer
68	https://job-boards.greenhouse.io/gleanwork/jobs/4651990005	pipeline	Glean | Founding Forward Deployed Engineer
69	https://job-boards.greenhouse.io/gleanwork/jobs/4508312005	pipeline	Glean | Solutions Architect
70	https://job-boards.greenhouse.io/gleanwork/jobs/4434258005	pipeline	Glean | Solutions Architect (EMEA/US East Customer hours)
71	https://job-boards.greenhouse.io/gleanwork/jobs/4611652005	pipeline	Glean | Senior Technical Program Manager
72	https://job-boards.greenhouse.io/gleanwork/jobs/4657199005	pipeline	Glean | Senior Technical Program Manager, Connectors
73	https://job-boards.greenhouse.io/gleanwork/jobs/4628714005	pipeline	Glean | Senior Technical Program Manager, Infrastructure
74	https://job-boards.greenhouse.io/gleanwork/jobs/4628879005	pipeline	Glean | Senior Technical Program Manager, Product
75	https://job-boards.greenhouse.io/gleanwork/jobs/4525518005	pipeline	Glean | Product Manager, AI Quality
76	https://job-boards.greenhouse.io/gleanwork/jobs/4525297005	pipeline	Glean | Product Manager, Agent Security & Governance
77	https://job-boards.greenhouse.io/gleanwork/jobs/4559476005	pipeline	Glean | Product Management Lead, Core Experience
78	https://job-boards.eu.greenhouse.io/speechmatics/jobs/4792165101	pipeline	Speechmatics | Forward Deployed Engineer
79	https://job-boards.eu.greenhouse.io/speechmatics/jobs/4823688101	pipeline	Speechmatics | Solutions Engineer
80	https://job-boards.eu.greenhouse.io/speechmatics/jobs/4823663101	pipeline	Speechmatics | Solutions Engineer
81	https://job-boards.eu.greenhouse.io/speechmatics/jobs/4823682101	pipeline	Speechmatics | Solutions Engineer
82	https://job-boards.eu.greenhouse.io/speechmatics/jobs/4823679101	pipeline	Speechmatics | Solutions Engineer
83	https://job-boards.eu.greenhouse.io/speechmatics/jobs/4673941101	pipeline	Speechmatics | Senior Product Manager
84	https://job-boards.eu.greenhouse.io/speechmatics/jobs/4675075101	pipeline	Speechmatics | Senior Product Manager
85	https://jobs.ashbyhq.com/elevenlabs/6c4c57c1-ec72-42ba-af3a-eb7aebbde2e6	pipeline	ElevenLabs | Forward Deployed Engineer
86	https://jobs.ashbyhq.com/cohere/1fa01a03-9253-4f62-8f10-0fe368b38cb9	pipeline	Cohere | Applied AI Engineer – Agentic Workflows
87	https://jobs.ashbyhq.com/n8n/e9130ede-c4cc-4bc2-937b-1292b9e794e7	pipeline	n8n | Senior Solutions Architect DACH (Remote Europe)
88	https://jobs.ashbyhq.com/n8n/788662b7-6b2b-4b07-b466-bf131fd95d08	pipeline	n8n | Senior Solutions Engineer (East Coast Remote)
89	https://jobs.ashbyhq.com/n8n/92208273-951b-4388-935b-037624fe1725	pipeline	n8n | Senior Solutions Engineer (Remote Europe)
90	https://jobs.ashbyhq.com/n8n/5d501d74-cb30-4c14-8ff9-508f647b34a9	pipeline	n8n | Senior AI Engineer (Europe remote)
91	https://jobs.ashbyhq.com/deepgram/8884965c-8a55-414c-ba86-a52d527f5dff	pipeline	Deepgram | Solutions Engineer, Enterprise
92	https://jobs.ashbyhq.com/decagon/8c40fb7a-5f25-4112-a1df-f1c22b81042c	pipeline	Decagon | Customer Engineer, Agent Builder
93	https://jobs.ashbyhq.com/synthflow/5e7b11f1-b915-46f2-bab4-ec2782118373	pipeline	Synthflow AI | Forward Deployed Engineer
94	https://jobs.ashbyhq.com/livekit/b889ef16-4d5d-4b71-b0a9-682026a0a1ee	pipeline	LiveKit | Forward Deployed Engineer
95	https://jobs.ashbyhq.com/vapi	pipeline	Vapi | (browse for relevant roles)
96	https://jobs.ashbyhq.com/pinecone	pipeline	Pinecone | (browse for relevant roles)
97	https://jobs.ashbyhq.com/zapier/cac70300-4e62-4299-bc34-aab69e7498f4	pipeline	Zapier | AI Automation Expert
98	https://jobs.ashbyhq.com/openai/638f2b84-7b8e-41e5-8a03-7bb83061d0f5	pipeline	OpenAI | Senior L&D Enablement Program Manager
99	https://jobs.ashbyhq.com/adaptive-ml/360ea776-27f1-4869-900f-6ebb78267aa2	pipeline	Adaptive ML | Forward Deployed AI Engineer
100	https://jobs.ashbyhq.com/baseten/84c1801c-1a65-49fb-aaaa-beeafd530e7e	pipeline	Baseten | Forward Deployed Engineer
101	https://jobs.ashbyhq.com/v7labs.com/c26d2c49-eaae-438c-9aa0-4dafbea315bc	pipeline	V7 | AI Forward Deployed Engineer
102	https://jobs.ashbyhq.com/tavily/ea19ba06-293e-4129-a7db-b4f7ae57a720	pipeline	Tavily | Forward Deployed Engineer, Partnerships
103	https://jobs.ashbyhq.com/reflectionai/8b97b583-3cc6-4834-ae2c-d5aecf22ed7d	pipeline	Reflection AI | Forward Deployed Engineer
104	https://jobs.ashbyhq.com/norm-ai/366d4079-4842-469d-a5e0-3cc891a136b4	pipeline	Norm AI | Forward Deployed Engineer
105	https://jobs.ashbyhq.com/P-1%20AI/75c853db-4a8d-4f23-b28f-05a2231e70e6	pipeline	P-1 AI | Forward Deployed Engineer
106	https://jobs.ashbyhq.com/lorikeet/0c72da73-cd31-4702-b9f1-c26b20932702	pipeline	Lorikeet | Forward Deployed AI Engineer
107	https://jobs.ashbyhq.com/lorikeet/a00d35af-2d47-4ed6-8d99-2cb1fb86e44f	pipeline	Lorikeet | Solutions Architect
108	https://jobs.ashbyhq.com/uipath/66cbeab1-9003-446c-b968-d1851bd0aa3e	pipeline	UiPath | Enterprise AI Solution Architect
109	https://jobs.ashbyhq.com/uipath/7241a90d-4756-4d06-9b14-429e8ee958d2	pipeline	UiPath | Solution Architect - Automation
110	https://jobs.ashbyhq.com/fiddler-ai/640c12b9-6a07-4be1-a542-d76e4240e2ff	pipeline	Fiddler AI | Solutions Architect, Customer Success - US (Remote)
111	https://jobs.ashbyhq.com/revenuecat/998a9cef-3ea5-45c2-885b-8a00c4eeb149	pipeline	RevenueCat | Agentic AI Advocate
112	https://jobs.ashbyhq.com/writer/d590e2f0-e2fe-4a02-b0e1-14f20777af13	pipeline	Writer | AI Product Manager
113	https://jobs.ashbyhq.com/vanta/6a0a8ee8-a1bc-4eb4-b4ff-7a1a4bf9427c	pipeline	Vanta | Principal Product Manager, Platform
114	https://jobs.ashbyhq.com/lakera.ai/95faf367-7a43-4454-997f-d9e7b5f11079	pipeline	Lakera | Senior Product Manager (SF or Remote East Coast)
115	https://jobs.ashbyhq.com/sosafe/8d99c8e4-cb5d-453f-a73d-83f66c00cc78	pipeline	SoSafe | Director of Product Management
116	https://jobs.ashbyhq.com/openai/d2ab1c9b-5c0c-4b43-a7c3-c9301854c023	pipeline	OpenAI | Forward Deployed Engineer (FDE), Life Sciences - London
117	https://jobs.lever.co/agiloft/e85a0460-4a4c-48b4-a42e-0ff4f124d890	pipeline	Agiloft | Forward Deployed Engineer - AI Solutions
118	https://job-boards.greenhouse.io/workato/jobs/8320989002	pipeline	Workato | Senior Forward Deployed Engineer
119	https://job-boards.greenhouse.io/cresta/jobs/4759347008	pipeline	Cresta | Senior Forward Deployed Engineer (AI Agent)
120	https://job-boards.greenhouse.io/smartsheet/jobs/7798778	pipeline	Smartsheet | Senior Forward Deployed AI Engineer (Remote Eligible)
121	https://job-boards.greenhouse.io/togetherai/jobs/4222183007	pipeline	Together AI | AI Solutions Architect
122	https://job-boards.greenhouse.io/mercury/jobs/5888354004	pipeline	Mercury | AI Solutions Architect
123	https://job-boards.greenhouse.io/anthropic/jobs/4461444008	pipeline	Anthropic | Solutions Architect, Applied AI (Industries)
124	https://job-boards.greenhouse.io/labelbox/jobs/4640927007	pipeline	Labelbox | Forward Deployed Engineer
125	https://job-boards.greenhouse.io/securityscorecard/jobs/7782217	pipeline	SecurityScorecard | Senior Product Manager, AI
126	https://job-boards.greenhouse.io/postscript/jobs/8445410002	pipeline	Postscript | Senior Product Manager, AI
127	https://job-boards.greenhouse.io/samsara/jobs/7742662	pipeline	Samsara | Senior Program Manager, Sales Programs – AI
128	https://job-boards.greenhouse.io/halcyon/jobs/5727063004	pipeline	Halcyon | Senior/Principal Program Manager
129	https://job-boards.greenhouse.io/affirm/jobs/7546361003	pipeline	Affirm | Senior Director, Operations
130	https://job-boards.greenhouse.io/xai/jobs/4717376007	pipeline	xAI | AI Engineer (Voice) - Enterprise
131	https://job-boards.greenhouse.io/togetherai/jobs/5093344007	pipeline	Together AI | Senior Platform Engineer, Voice AI
132	https://job-boards.greenhouse.io/hightouch/jobs/5542602004	pipeline	Hightouch | Software Engineer, AI Agents
133	https://job-boards.greenhouse.io/nebius/jobs/4381327101	pipeline	Nebius | Senior/Staff ML Engineer (LLMs and Agentic Systems)
134	https://job-boards.greenhouse.io/myriad360/jobs/8402449002	pipeline	Myriad360 | AI Automation Engineer Tech Lead (Remote)
135	https://jobs.ashbyhq.com/salient/a213eea8-ef18-40cb-b693-67ca3900c7fb	pipeline	Salient | Forward Deployed Software Engineer
136	https://openai.com/careers/forward-deployed-engineer-(fde)-nyc-new-york-city/	pipeline	OpenAI | Forward Deployed Engineer (FDE) - NYC
137	https://openai.com/careers/forward-deployed-engineer-financial-services-new-york-city/	pipeline	OpenAI | Forward Deployed Engineer - Financial Services
138	https://openai.com/careers/forward-deployed-engineer-paris-paris-france/	pipeline	OpenAI | Forward Deployed Engineer - Paris
139	https://retool.com/careers/deployed-ai-engineer--product--san-francisco-ca	pipeline	Retool | Deployed AI Engineer
